Epoca Perdida Precision
1 0.2386692174 0.9283166667
2 0.1031802203 0.9691166667
3 0.0719192733 0.9787666667
4 0.0544773869 0.9829333333
5 0.0482641539 0.9844166667
6 0.0395979082 0.9868166667
7 0.0399933375 0.9874666667
8 0.0331866766 0.9891000000
9 0.0324933920 0.9896666667
10 0.0296018768 0.9904000000
11 0.0263377653 0.9917000000
12 0.0269032410 0.9913833333
13 0.0206012759 0.9934166667
14 0.0270131784 0.9910166667
15 0.0261313534 0.9915833333
16 0.0249067339 0.9924666667
17 0.0239363147 0.9927666667
18 0.0199288651 0.9940500000
19 0.0208825407 0.9938500000
20 0.0200016036 0.9939333333
21 0.0211458676 0.9936666667
22 0.0172009280 0.9949833333
23 0.0156449867 0.9951000000
24 0.0230332136 0.9936833333
25 0.0165150567 0.9953500000
26 0.0145853553 0.9958333333
27 0.0117850036 0.9963500000
28 0.0123840724 0.9962666667
29 0.0194264595 0.9949166667
30 0.0170624902 0.9949833333
31 0.0260862840 0.9936500000
32 0.0203229328 0.9941666667
33 0.0163641575 0.9953833333
34 0.0211964789 0.9943666667
35 0.0199783935 0.9949666667
36 0.0149944899 0.9958500000
37 0.0180442669 0.9951666667
38 0.0126987650 0.9964166667
39 0.0167295095 0.9960500000
40 0.0167818965 0.9958333333
