Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.2967714599,0.9155666667,0.1390576844,0.9574000000
2,0.1232245506,0.9632500000,0.1065234655,0.9669000000
3,0.0860266519,0.9739833333,0.0892814016,0.9728000000
4,0.0671906505,0.9794000000,0.0949487330,0.9713000000
5,0.0546947346,0.9836000000,0.0807883467,0.9788000000
6,0.0451203338,0.9862000000,0.0804716037,0.9775000000
7,0.0374943144,0.9886166667,0.0894631279,0.9765000000
8,0.0332518361,0.9900000000,0.0872790813,0.9770000000
9,0.0276265850,0.9911833333,0.0889176462,0.9779000000
10,0.0241383284,0.9924833333,0.0897793917,0.9774000000
11,0.0196354943,0.9939666667,0.0917762841,0.9798000000
12,0.0168602023,0.9948333333,0.1187399322,0.9756000000
13,0.0142757447,0.9958666667,0.0982053292,0.9815000000
14,0.0122871590,0.9963833333,0.1046166205,0.9805000000
15,0.0113595707,0.9966500000,0.1157276044,0.9798000000
16,0.0092562935,0.9969666667,0.1210439977,0.9801000000
17,0.0083824019,0.9974500000,0.1234864430,0.9791000000
18,0.0076182249,0.9975166667,0.1263385602,0.9790000000
19,0.0069030283,0.9979500000,0.1342628959,0.9786000000
20,0.0058280020,0.9982333333,0.1255056414,0.9801000000
21,0.0059795383,0.9980500000,0.1442116802,0.9783000000
22,0.0045752702,0.9984833333,0.1538952547,0.9800000000
23,0.0051957728,0.9984166667,0.1617030636,0.9790000000
24,0.0038028459,0.9988833333,0.1716482367,0.9780000000
25,0.0035943664,0.9988166667,0.1546431864,0.9785000000
26,0.0027018965,0.9990666667,0.1631053918,0.9794000000
27,0.0028189048,0.9991333333,0.1596171479,0.9802000000
28,0.0029952655,0.9990500000,0.1671900921,0.9798000000
29,0.0028327160,0.9992000000,0.1867390980,0.9775000000
30,0.0024481965,0.9992833333,0.1694315683,0.9809000000
