Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.7478442183,0.7958000000,0.3287217199,0.9069000000
2,0.2657719512,0.9248000000,0.2543713103,0.9279000000
3,0.1995758780,0.9440000000,0.2195408783,0.9348000000
4,0.1512445747,0.9572000000,0.1998137578,0.9387000000
5,0.1174693677,0.9661000000,0.1836246531,0.9448000000
6,0.0996559355,0.9719000000,0.1784743196,0.9443000000
7,0.0774764230,0.9806000000,0.1695339284,0.9482000000
8,0.0638797373,0.9836000000,0.1903146633,0.9447000000
9,0.0542682696,0.9862000000,0.1751305494,0.9488000000
10,0.0404686270,0.9896000000,0.1719862437,0.9498000000
11,0.0332115803,0.9923000000,0.1730175920,0.9507000000
12,0.0256065168,0.9946000000,0.1707320411,0.9525000000
13,0.0204517652,0.9956000000,0.1690915514,0.9547000000
14,0.0167185070,0.9966000000,0.1788227055,0.9522000000
15,0.0138453974,0.9977000000,0.1766075924,0.9542000000
16,0.0088691597,0.9989000000,0.1785050885,0.9553000000
17,0.0061909968,0.9999000000,0.1853112923,0.9540000000
18,0.0045871105,0.9999000000,0.1891278769,0.9545000000
19,0.0037994926,1.0000000000,0.1878712894,0.9544000000
20,0.0029513297,1.0000000000,0.1933499472,0.9554000000
21,0.0024615946,1.0000000000,0.1968632883,0.9547000000
22,0.0019726514,1.0000000000,0.1988758648,0.9560000000
23,0.0016141584,1.0000000000,0.1991080159,0.9544000000
24,0.0014794888,1.0000000000,0.2023990059,0.9572000000
25,0.0011957624,1.0000000000,0.2057215972,0.9548000000
26,0.0195722191,0.9930000000,0.2942725883,0.9308000000
27,0.0489004639,0.9833000000,0.2176853976,0.9507000000
28,0.0124638035,0.9966000000,0.2576503906,0.9438000000
29,0.0068154484,0.9987000000,0.2070518842,0.9567000000
30,0.0012825612,1.0000000000,0.2080476116,0.9564000000
31,0.0009183279,1.0000000000,0.2086667760,0.9567000000
32,0.0007358573,1.0000000000,0.2113170242,0.9570000000
33,0.0006232529,1.0000000000,0.2130543730,0.9574000000
34,0.0005362892,1.0000000000,0.2149202383,0.9574000000
35,0.0004716330,1.0000000000,0.2168942444,0.9574000000
36,0.0004250734,1.0000000000,0.2176603509,0.9574000000
37,0.0003802794,1.0000000000,0.2204579050,0.9575000000
38,0.0003422523,1.0000000000,0.2228430222,0.9575000000
39,0.0003101669,1.0000000000,0.2255393239,0.9572000000
40,0.0002860319,1.0000000000,0.2265707891,0.9575000000
41,0.0002578176,1.0000000000,0.2291742463,0.9566000000
42,0.0002361231,1.0000000000,0.2304689534,0.9572000000
43,0.0002179250,1.0000000000,0.2317681262,0.9573000000
44,0.0002005057,1.0000000000,0.2335067220,0.9571000000
45,0.0001855452,1.0000000000,0.2346818688,0.9573000000
46,0.0001685181,1.0000000000,0.2364605299,0.9572000000
47,0.0001547595,1.0000000000,0.2380335066,0.9573000000
48,0.0001433258,1.0000000000,0.2385257513,0.9572000000
49,0.0001314724,1.0000000000,0.2405871960,0.9568000000
50,0.0001200195,1.0000000000,0.2444912498,0.9566000000
