Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,1.4172749483,0.5199000000,0.5284001025,0.8555000000
2,0.7248821682,0.7760000000,0.3763010676,0.8909000000
3,0.5638521913,0.8266000000,0.3161723976,0.9077000000
4,0.4848373282,0.8525000000,0.2865842042,0.9151000000
5,0.4381171260,0.8720000000,0.2661549168,0.9204000000
6,0.3944465951,0.8842000000,0.2517080325,0.9237000000
7,0.3793681510,0.8887000000,0.2364573946,0.9287000000
8,0.3397634619,0.8972000000,0.2259570405,0.9333000000
9,0.3148759483,0.9054000000,0.2350756929,0.9303000000
10,0.3131463010,0.9076000000,0.2162565787,0.9343000000
11,0.2881910308,0.9157000000,0.2036574736,0.9392000000
12,0.2820009156,0.9189000000,0.1992165770,0.9388000000
13,0.2551190931,0.9271000000,0.2039079573,0.9409000000
14,0.2619959403,0.9241000000,0.2042931495,0.9405000000
15,0.2512652457,0.9248000000,0.1938924419,0.9441000000
16,0.2320882890,0.9277000000,0.1936640774,0.9452000000
17,0.2461465093,0.9295000000,0.1953010132,0.9433000000
18,0.2341062787,0.9283000000,0.1916199841,0.9460000000
19,0.2330493023,0.9315000000,0.1880114257,0.9475000000
20,0.2092591670,0.9390000000,0.1873561086,0.9477000000
21,0.2033287116,0.9390000000,0.1871608116,0.9472000000
22,0.2026050673,0.9405000000,0.1912137570,0.9483000000
23,0.1882302738,0.9430000000,0.1906120492,0.9472000000
24,0.2017477012,0.9409000000,0.1870181708,0.9478000000
25,0.1976394141,0.9430000000,0.1984194536,0.9458000000
26,0.1868112716,0.9426000000,0.1950149853,0.9495000000
27,0.1788393561,0.9453000000,0.1851422504,0.9502000000
28,0.1705387992,0.9489000000,0.1814889715,0.9513000000
29,0.1578997534,0.9515000000,0.1842668488,0.9527000000
30,0.1713846564,0.9487000000,0.1852329656,0.9512000000
31,0.1591032812,0.9484000000,0.1863216410,0.9534000000
32,0.1643940324,0.9505000000,0.1848764214,0.9506000000
33,0.1497432096,0.9542000000,0.1925451696,0.9508000000
34,0.1573938654,0.9538000000,0.1976976238,0.9512000000
35,0.1450990379,0.9571000000,0.1827669758,0.9529000000
36,0.1460821863,0.9564000000,0.1899600356,0.9544000000
37,0.1541637637,0.9557000000,0.1905612095,0.9526000000
38,0.1438301169,0.9570000000,0.1929243364,0.9533000000
39,0.1366288045,0.9598000000,0.1847438031,0.9563000000
40,0.1543864788,0.9527000000,0.1919030463,0.9527000000
41,0.1409441669,0.9567000000,0.1936942350,0.9548000000
42,0.1382688357,0.9571000000,0.1888977384,0.9545000000
43,0.1342259801,0.9581000000,0.1889308895,0.9550000000
44,0.1289363706,0.9576000000,0.1903972692,0.9541000000
45,0.1307201477,0.9583000000,0.2093100678,0.9520000000
46,0.1292091635,0.9579000000,0.1955992564,0.9546000000
47,0.1330531804,0.9608000000,0.1993260911,0.9564000000
48,0.1203280747,0.9608000000,0.1996267440,0.9535000000
49,0.1203094905,0.9628000000,0.2134648095,0.9511000000
50,0.1291749622,0.9615000000,0.1920827034,0.9547000000
