Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,0.8105590515,0.7951000000,0.4155727463,0.8855000000
2,0.3653374400,0.9071000000,0.3577826391,0.9070000000
3,0.3280320544,0.9168000000,0.3314652804,0.9091000000
4,0.3055751344,0.9190000000,0.3269409357,0.9065000000
5,0.2820967406,0.9275000000,0.2986473308,0.9187000000
6,0.2731155350,0.9291000000,0.2933624120,0.9188000000
7,0.2610118683,0.9316000000,0.2809945355,0.9248000000
8,0.2543580576,0.9360000000,0.2725286435,0.9250000000
9,0.2448383691,0.9352000000,0.2678110425,0.9264000000
10,0.2400817364,0.9360000000,0.2725289022,0.9253000000
11,0.2416118461,0.9401000000,0.2756262338,0.9253000000
12,0.2325375064,0.9402000000,0.2613056960,0.9267000000
13,0.2327953244,0.9388000000,0.2541251574,0.9281000000
14,0.2265719802,0.9425000000,0.2485688112,0.9344000000
15,0.2240899408,0.9436000000,0.2474330307,0.9317000000
16,0.2218849485,0.9431000000,0.2617262357,0.9268000000
17,0.2178983576,0.9450000000,0.2540046773,0.9292000000
18,0.2171920661,0.9473000000,0.2527810265,0.9276000000
19,0.2148495725,0.9452000000,0.2373313174,0.9351000000
20,0.2134572299,0.9473000000,0.2463675249,0.9324000000
21,0.2157096581,0.9460000000,0.2416066471,0.9348000000
22,0.2127609647,0.9458000000,0.2364543642,0.9335000000
23,0.2076645262,0.9496000000,0.2575125288,0.9276000000
24,0.2072074323,0.9503000000,0.2412868025,0.9321000000
25,0.2089943459,0.9478000000,0.2340091504,0.9350000000
26,0.2041829697,0.9512000000,0.2371250753,0.9378000000
27,0.2063127755,0.9509000000,0.2519788272,0.9303000000
28,0.2085029491,0.9482000000,0.2253532207,0.9405000000
29,0.2054626265,0.9490000000,0.2347282560,0.9393000000
30,0.2007934816,0.9507000000,0.2307208646,0.9378000000
31,0.2037676581,0.9495000000,0.2333949534,0.9346000000
32,0.2018863349,0.9514000000,0.2316268198,0.9360000000
33,0.2003584090,0.9496000000,0.2411271368,0.9344000000
34,0.1992485747,0.9512000000,0.2263041692,0.9395000000
35,0.1967847239,0.9520000000,0.2360046393,0.9351000000
36,0.1971157600,0.9519000000,0.2286820317,0.9375000000
37,0.1976368143,0.9531000000,0.2280203563,0.9398000000
38,0.1978868548,0.9510000000,0.2352465552,0.9330000000
39,0.1988802406,0.9529000000,0.2326218204,0.9343000000
40,0.1958287937,0.9529000000,0.2300232324,0.9395000000
41,0.1977814336,0.9517000000,0.2441841018,0.9339000000
42,0.1952888715,0.9536000000,0.2270672684,0.9368000000
43,0.1949098472,0.9537000000,0.2427405752,0.9350000000
44,0.2004021019,0.9496000000,0.2331485234,0.9386000000
45,0.1985314678,0.9514000000,0.2351584049,0.9365000000
46,0.1927033653,0.9527000000,0.2339791328,0.9359000000
47,0.1915963355,0.9543000000,0.2332036874,0.9376000000
48,0.1932506278,0.9526000000,0.2330662142,0.9323000000
49,0.1924398274,0.9531000000,0.2312334690,0.9362000000
50,0.1916073688,0.9533000000,0.2269184803,0.9362000000
