Epoca,Perdida_Train,Precision_Train,Perdida_Test,Precision_Test
1,2.3327461331,0.0745000000,2.3181248296,0.0828000000
2,2.3019715512,0.0996000000,2.2899224945,0.1087000000
3,2.2756427423,0.1404000000,2.2645369680,0.1557000000
4,2.2509389173,0.2037000000,2.2400541544,0.2249000000
5,2.2263897842,0.2679000000,2.2151853867,0.2972000000
6,2.2009133435,0.3359000000,2.1890341665,0.3610000000
7,2.1737315702,0.3898000000,2.1607584898,0.4157000000
8,2.1439763477,0.4371000000,2.1295252179,0.4614000000
9,2.1110141411,0.4766000000,2.0947472078,0.4999000000
10,2.0741748745,0.5133000000,2.0557414618,0.5324000000
11,2.0328538420,0.5445000000,2.0120593428,0.5618000000
12,1.9865756713,0.5733000000,1.9631199836,0.5885000000
13,1.9350257396,0.6001000000,1.9091929372,0.6100000000
14,1.8784178184,0.6218000000,1.8501402803,0.6273000000
15,1.8170582789,0.6388000000,1.7866380070,0.6449000000
16,1.7516003042,0.6554000000,1.7194543015,0.6609000000
17,1.6828710719,0.6686000000,1.6494931973,0.6761000000
18,1.6120642546,0.6845000000,1.5782051846,0.6901000000
19,1.5404235483,0.6953000000,1.5064434032,0.7046000000
20,1.4691315628,0.7084000000,1.4357332761,0.7155000000
21,1.3993485918,0.7197000000,1.3670855259,0.7256000000
22,1.3321127168,0.7308000000,1.3013618405,0.7356000000
23,1.2680155069,0.7401000000,1.2390137980,0.7460000000
24,1.2075780514,0.7487000000,1.1805336197,0.7548000000
25,1.1511706672,0.7589000000,1.1264784020,0.7613000000
26,1.0989116934,0.7666000000,1.0764228622,0.7674000000
27,1.0507063814,0.7729000000,1.0301708619,0.7734000000
28,1.0063219465,0.7805000000,0.9877726060,0.7804000000
29,0.9657164682,0.7865000000,0.9490970006,0.7859000000
30,0.9285231179,0.7914000000,0.9134311777,0.7915000000
31,0.8942811949,0.7952000000,0.8808535081,0.7957000000
32,0.8630016549,0.7993000000,0.8508721799,0.7987000000
33,0.8341329472,0.8045000000,0.8236001211,0.8036000000
34,0.8076296057,0.8076000000,0.7984649338,0.8076000000
35,0.7832169989,0.8122000000,0.7751937216,0.8115000000
36,0.7606796895,0.8150000000,0.7536528836,0.8153000000
37,0.7398064990,0.8194000000,0.7339748026,0.8183000000
38,0.7204030020,0.8229000000,0.7154578039,0.8226000000
39,0.7023461255,0.8279000000,0.6985744789,0.8228000000
40,0.6855970903,0.8302000000,0.6827619857,0.8273000000
41,0.6698138932,0.8326000000,0.6678134997,0.8310000000
42,0.6551258119,0.8353000000,0.6533494890,0.8348000000
43,0.6411535617,0.8388000000,0.6399698019,0.8370000000
44,0.6281659679,0.8410000000,0.6277701333,0.8387000000
45,0.6159283653,0.8432000000,0.6162665668,0.8410000000
46,0.6042445652,0.8465000000,0.6051307875,0.8421000000
47,0.5932881324,0.8493000000,0.5946721818,0.8454000000
48,0.5829303250,0.8512000000,0.5849957988,0.8477000000
49,0.5730361746,0.8535000000,0.5755771824,0.8497000000
50,0.5636160152,0.8559000000,0.5669625325,0.8512000000
